OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
219,2400,STATE (BELL/SPRINGVALE) HWY,R, L1+L2+L3,U,3,0,10.5,0,10.5
12554,2530,CALDER HWY,F, L1+SL+SR+L2+RON1,S,2,2.5,7.4,1.2,11.1
9254,2500,PRINCES HWY,F, L1+SR+L2+L3+LT1,A,3,0,10.5,2.4,12.9
14247,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.7,7,2.1,10.8
2229,2110,WIMMERA HWY,F, L1+L2,S,2,0,7.4,0,7.4
220,2400,STATE (BELL/SPRINGVALE) HWY,F, L1+L2+L3+LBL,A,3,0,11,0,11
9255,2510,PRINCES HWY,F, L1+SL+SR+L2,S,2,1.2,7.2,1.2,9.6
14248,2530,CALDER HWY,F, L1+SL+SR+L2+RON1+RON2+BOHF,S,2,3.2,7.2,1.2,11.6
12555,2540,NORTHERN HWY,F, L1+L2+LBL+LPL,A,2,0,6.4,0,6.4
2230,2090,DANDENONG VALLEY HWY,R, L1+L2,U,2,0,8.7,0,8.7
221,2300,MELBA HWY,F, L1+L2+LIP,A,2,0,7.2,0,7.2
12556,2540,NORTHERN HWY,F, L1+SL+SR+L2,S,2,2.6,7.4,1.6,11.6
14249,2520,WESTERN HWY,F, L1+SL+L2+ROF1+ROF2,S,2,3.3,7.5,0,10.8
9256,2510,PRINCES HWY,F, L1+SL+L2,S,2,3.2,7.2,0,10.4
222,2000,MONASH FWY,F, L1+SL+L2+L3+L4+RON1,A,4,1,14,0,15
2231,2090,DANDENONG VALLEY HWY,R, L1+L2,S,2,0,7.4,0,7.4
14250,2520,WESTERN HWY,F, L1+SL+SR+L2+RT1,S,2,1.8,6.9,1.8,10.5
223,2070,WARRIGAL HWY,F, L1+L2+L3,A,3,0,11.1,0,11.1
9257,2500,PRINCES HWY,F, L1+SL+SR+L2+L3+ROF1+ROFSHL,A,3,3,10.6,2.6,16.2
