OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
18904,2520,WESTERN HWY,F, L1+SL+SR+L2+ROF1+ROFSHL+ROFSHR,S,2,3.7,7.2,1.5,12.4
21580,2600,MORNINGTON PENINSULA FWY,F, L1+SL+SR+L2+ROF1+ROFSHL+ROFSHR,A,2,3,7.4,1.2,11.6
22289,2580,SOUTH GIPPSLAND HWY,R, L1+L2,S,2,0,6.5,0,6.5
18905,2530,CALDER HWY,F, L1+SR+L2+RT1,A,2,0,7.2,1.5,8.7
21581,2720,MAROONDAH HWY,F, L1+L2+L3+RON1,A,3,0,11,0,11
22290,2580,SOUTH GIPPSLAND HWY,R, L1+L2,S,2,0,6.6,0,6.6
18906,2550,HUME HWY,F, L1+SL+SR+L2+LT1,A,2,1.5,7.2,1.5,10.2
21582,2660,NEPEAN HWY,F, L1+L2+RT1+LBL+LPL,A,2,0,7,0,7
22291,2570,MURRAY VALLEY HWY,F, L1+SL+L2,S,2,0.8,6.8,0,7.6
18907,2530,CALDER HWY,F, L1+SL+SR+L2+L3,A,3,3,12,1,16
21583,2640,GOULBURN VALLEY HWY,F, L1+L2+LPL,S,2,0,7,0,7
18908,2520,WESTERN HWY,F, L1+SR+L2+ROF1+ROF2+ROFSHL+ROFSHR,U,2,0,7.4,1.3,8.7
22292,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.4,0,6.4
21584,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,8.2,0,8.2
18909,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.2,7.2,2.2,11.6
22293,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,3,7.2,3.4,13.6
21585,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1.2,7.2,1.2,9.6
18910,2550,HUME HWY,F, L1+SL+SR+L2,S,2,3.2,7.2,3,13.4
22294,2580,SOUTH GIPPSLAND HWY,F, L1+L2,A,2,0,8,0,8
21586,2710,BASS HWY,F, L1+L2+RT1+LT1,A,2,0,7.2,0,7.2
18911,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.4,7.4,1.2,11
22295,2550,HUME HWY,R, L1+SL+SR+L2+RON1+ROF1+RONSHL+RONSHR+ROFSHL+ROFSHR,S,2,3.4,7.6,1.5,12.5
18912,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,3.2,7,1.4,11.6
21587,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2.4,7.2,2.4,12
22296,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.8,7.6,2.4,11.7
21588,2710,BASS HWY,F, L1+SL+SR+L2+L3,S,3,2.1,10.5,2.1,14.7
18913,2520,WESTERN HWY,F, L1+SL+SR+L2,S,2,2.5,7.4,2.5,12.4
22297,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,2.4,7.2,1,10.6
21589,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,7.2,0,7.2
18914,2530,CALDER HWY,R, L1+SR+L2+LT1,S,2,0,7.2,1.4,8.5
22298,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.5,7.4,1.8,10.7
21590,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2.4,7.2,2.4,12
18915,2520,WESTERN HWY,F, L1+SL+SR+L2+RIP,S,2,1.6,7.6,1.6,10.8
22299,2580,SOUTH GIPPSLAND HWY,R, L1+SL+L2+RT1,S,2,2.6,7.3,0,9.9
21591,2550,HUME HWY,R, L1+SL+SR+L2+ROF1+ROFSHL+ROFSHR,S,2,3.2,7.6,1,11.7
18916,2520,WESTERN HWY,F, L1+SR+L2+LPL,S,2,0,7.4,1.7,9.1
22300,2580,SOUTH GIPPSLAND HWY,R, L1+L2+L3+RT1+RT2,A,3,0,10.5,0,10.5
21592,2550,HUME HWY,R, L1+SL+SR+L2,A,2,2.8,7.6,1.2,11.6
18917,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.7,7.6,1.2,11.5
22301,2580,SOUTH GIPPSLAND HWY,R, L1+SL+SR+L2,S,2,3,6.8,1.2,11
21593,2550,HUME HWY,R, L1+SR+L2+RT2,S,2,0,7.4,1.5,8.9
18918,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.8,6.6,1.6,10
22302,2580,SOUTH GIPPSLAND HWY,F, L1+L2,S,2,0,7.2,0,7.2
21594,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2.4,7.6,2.9,12.9
22303,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2+RT1R,S,2,1.5,7.2,2,10.7
21595,2590,MIDLAND HWY,F, L1+L2,S,2,0,8.7,0,8.7
22304,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.4,0,6.4
21596,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+L3,S,3,2,10.5,2,14.5
18919,2550,HUME HWY,F, L1+SL+SR+L2+RON1+RON2+RONSHL+RONSHR,S,2,2.7,7.2,1.7,11.6
22305,2550,HUME HWY,R, L1+SL+SR+L2+LT1,A,2,1.5,7.2,1.8,10.5
21597,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,3,7.2,1.5,11.7
18920,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,1.5,10.2
22306,2620,HENTY HWY,F, L1+SL+L2,S,2,1.5,6.8,0,8.3
21598,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,3.6,7.6,2.6,13.7
18921,2530,CALDER HWY,F, L1+SL+SR+L2,A,2,3.2,8,1.2,12.4
22307,2670,GLENELG HWY,F, L1+SL+L2+L3,S,3,1.2,11.8,0,13
21599,2550,HUME HWY,R, L1+SL+SR+L2+ROF1+ROF2+ROFSHL+ROFSHR,S,2,3.2,7.6,1,11.7
18922,2520,WESTERN HWY,F, L1+SL+L2,S,2,1.8,7.5,0,9.3
22308,2590,MIDLAND HWY,R, L1+L2,A,2,0,11,0,11
18923,2550,HUME HWY,F, L1+SL+SR+L2+RON1+RONSHL+RONSHR,S,2,3.2,7.6,1.5,12.2
21600,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,2,6.8,1.5,10.3
22309,2720,MAROONDAH HWY,F, L1+SL+SR+L2,S,2,2.4,6.4,2.4,11.2
18924,2520,WESTERN HWY,F, L1+SL+SR+L2,U,2,1.7,7,1.7,10.4
22310,2590,MIDLAND HWY,R, L1+L2,A,2,0,9,0,9
21601,2580,SOUTH GIPPSLAND HWY,R, L1+L2+L3+RT1,A,3,0,10.5,0,10.5
18925,2530,CALDER HWY,F, L1+L2+LT1,S,2,0,7.6,0,7.6
22311,2660,NEPEAN HWY,R, L1+L2+L3+RT1,U,3,0,11,0,11
21602,2580,SOUTH GIPPSLAND HWY,F, L1+SR+L2,S,2,0,8.2,2.5,10.7
18926,2520,WESTERN HWY,F, L1+SL+SR+L2,S,2,1.1,7.3,1.1,9.5
22312,2720,MAROONDAH HWY,F, L1+L2+RT1+LT1,S,2,0,7.6,0,7.6
24001,2650,MALLEE HWY,F, L1+SL+L2,S,2,1.5,6.8,0,8.3
21603,2560,OMEO HWY,F, L1+L2,A,2,0,6.8,0,6.8
18927,2530,CALDER HWY,F, L1+SL+L2+RT1,S,2,2.5,7.4,0,9.9
22313,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2+RT1R,S,2,2.4,7.4,2,11.8
21604,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,7.5,0,7.5
18928,2520,WESTERN HWY,F, L1+SL+SR+L2,S,2,1.8,7.4,1.8,11
22314,2660,NEPEAN HWY,F, L1+L2+L3+LBL+RBL,A,3,0,11,0,11
24002,2640,GOULBURN VALLEY HWY,F, L1+L2,S,2,0,20,0,20
21605,2590,MIDLAND HWY,F, L1+L2+LBL+LPL+RBL+RPL+NTZM,S,2,0,7.4,0,7.4
22315,2650,MALLEE HWY,F, L1+L2,S,2,0,7.4,0,7.4
24003,2700,SUNRAYSIA HWY,F, L1+SL+SR+L2,S,2,1.4,7,1.4,9.8
21606,2590,MIDLAND HWY,F, L1+L2,A,2,0,9,0,9
22316,2590,MIDLAND HWY,R, L1+L2,S,2,0,6.8,0,6.8
18929,2520,WESTERN HWY,F, L1+SL+SR+L2,S,2,1.4,7.6,1.4,10.4
24004,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,1.8,6.4,1.8,10
21607,2570,MURRAY VALLEY HWY,F, L1+SL+L2,S,2,2,7.6,0,9.6
22317,2720,MAROONDAH HWY,F, L1+L2+L3+RT1,A,3,0,9.6,0,9.6
18930,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.7,7.6,1.2,11.5
24005,2630,LODDON VALLEY HWY,F, L1+L2,S,2,0,7.5,0,7.5
22318,2670,GLENELG HWY,F, L1+L2+LPL,S,2,0,7.8,0,7.8
21608,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,1.3,7.4,1.3,10
18931,2540,NORTHERN HWY,F, L1+L2+LBL,A,2,0,8.4,0,8.4
24006,2660,NEPEAN HWY,F, L1+L2+L3+L4+RT1+RPL,S,4,0,14.3,0,14.3
22319,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,7.4,0,7.4
18932,2540,NORTHERN HWY,F, L1+SL+SR+L2+L3,S,3,1,10.4,1.8,13.2
21609,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,1.5,6.8,2,10.3
24007,2670,GLENELG HWY,F, L1+L2+RT1,A,2,0,9.4,0,9.4
21610,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,2.4,7.5,1.2,11.1
24008,2630,LODDON VALLEY HWY,R, L1+L2+LBL,A,2,0,10,0,10
18933,2550,HUME HWY,F, L1+SL+SR+L2+ROF1+ROFSHL+ROFSHR,S,2,2.4,7.6,1.5,11.5
22320,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,3,7,2.5,12.5
21611,2550,HUME HWY,R, L1+SL+SR+L2+RON1+ROF1+RONSHL+RONSHR+ROF2,S,2,2.8,7.2,1.5,11.5
24009,2630,LODDON VALLEY HWY,F, L1+L2,S,2,0,8.4,0,8.4
18934,2520,WESTERN HWY,F, L1+SL+SR+L2+RON1+ROF1+RONSHL+RONSHR+ROFSHL+ROFSHR,S,2,3.5,7.2,1.3,12
22321,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,1.5,10.2
21612,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.6,2,11.6
24010,2620,HENTY HWY,F, L1+SL+SR+L2+L3,S,3,1,10.9,1,12.9
18935,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.5,7.2,2.5,12.2
22322,2590,MIDLAND HWY,F, L1+L2,S,2,0,6.2,0,6.2
21613,2580,SOUTH GIPPSLAND HWY,R, L1+L2+RT1,S,2,0,7,0,7
24011,2620,HENTY HWY,F, L1+L2+RT1,S,2,0,7.7,0,7.7
18936,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+LT1+RT1R,S,2,2.3,7,1.5,10.8
21614,2580,SOUTH GIPPSLAND HWY,F, L1+SR+L2,S,2,0,7,2.2,9.2
18937,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2,6.8,2,10.8
24012,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1.2,8.5,1.2,10.9
21615,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.8,0,6.8
24013,2610,STURT HWY,F, L1+SL+SR+L2,S,2,1.6,7.4,1.6,10.6
18938,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,3,7.4,1.2,11.6
21616,2560,OMEO HWY,F, L1+L2,S,2,0,6.2,0,6.2
18939,2550,HUME HWY,R, L1+SL+SR+L2+RT1,S,2,2,7.6,1.5,11.1
21617,2550,HUME HWY,R, L1+SL+SR+L2,S,2,3.2,7.2,1.8,12.2
24014,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,2.4,7.6,1,11
18940,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,7.6,0,7.6
21618,2570,MURRAY VALLEY HWY,F, L1+SR+L2+LT1+RT1R,S,2,0,6.9,1.2,8.1
24015,2720,MAROONDAH HWY,F, L1+SL+SR+L2+L3+LPL,S,3,1.5,10.5,2.4,14.4
18941,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2.4,7.2,2.4,12
21619,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,1.8,7.4,1.8,11
22323,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,1.5,10.2
24016,2660,NEPEAN HWY,F, L1+L2+L3,U,3,0,10.5,0,10.5
18942,2580,SOUTH GIPPSLAND HWY,F, L1+SL+L2,A,2,2.4,7.4,0,9.8
22324,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,3.5,7.4,3.2,14.1
24017,2610,STURT HWY,F, L1+SL+SR+L2,S,2,1.6,7.4,1.6,10.6
21620,2590,MIDLAND HWY,F, L1+L2+L3,A,3,0,10.5,0,10.5
18943,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,1.2,7,1.2,9.4
24018,2720,MAROONDAH HWY,F, L1+L2+L3+RT1+RT2,A,3,0,11.1,0,11.1
22325,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.5,0,6.5
21621,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+L3,S,3,1.5,10.5,1.5,13.5
18944,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,1.5,6.8,1.5,9.8
24019,2660,NEPEAN HWY,F, L1+L2+L3,A,3,0,11,0,11
22326,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2+RT1,S,2,2.8,7.2,2.8,12.7
18945,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+L3,S,3,1.5,10.7,1.5,13.7
24020,2650,MALLEE HWY,F, L1+SL+SR+L2,S,2,1.6,6.8,1.6,10
21622,2560,OMEO HWY,F, L1+L2,S,2,0,5.8,0,5.8
22327,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.8,0,6.8
18946,2550,HUME HWY,R, L1+SL+SR+L2,S,2,3.2,7.2,2.8,13.2
21623,2580,SOUTH GIPPSLAND HWY,F, L1+L2,S,2,0,7,0,7
22328,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.8,0,6.8
18947,2570,MURRAY VALLEY HWY,F, L1+L2+LT1,A,2,0,15,0,15
21624,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2+LT1+RT1R,S,2,1.4,7.4,2.8,11.6
22329,2570,MURRAY VALLEY HWY,R, L1+SL+L2+RON1,S,2,2,7.6,0,9.6
18948,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2.6,7.2,2.4,12.2
24021,2610,STURT HWY,F, L1+SL+L2,S,2,4.8,8.2,0,13
21625,2560,OMEO HWY,F, L1+L2,S,2,0,6.4,0,6.4
22330,2570,MURRAY VALLEY HWY,F, L1+L2+LBL,S,2,0,7.2,0,7.2
18949,2550,HUME HWY,R, L1+SL+SR+L2+RON1+RONSHL,S,2,3.2,7.6,1.5,12.2
24022,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,0.7,7.4,0.7,8.8
21626,2550,HUME HWY,R, L1+SL+SR+L2+RON1+RONSHL+RONSHR,A,2,2.8,7.2,1.8,11.7
22331,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2.4,7,1.6,11
18950,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.7,6.3,1.7,9.7
24023,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2+RT1,S,2,1.5,7,2,10.5
21627,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,7.6,0,7.6
22332,2550,HUME HWY,R, L1+SL+SR+L2+LT1,S,2,2,7.2,2,11.2
18951,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.2,7.2,1.2,9.6
24024,2700,SUNRAYSIA HWY,F, L1+SL+SR+L2,S,2,1.4,7,1.4,9.8
22333,2580,SOUTH GIPPSLAND HWY,R, L1+L2+RT1,A,2,0,7.4,0,7.4
21628,2590,MIDLAND HWY,F, L1+SL+L2+RT1R,S,2,2,8.8,0,10.8
18952,2580,SOUTH GIPPSLAND HWY,R, L1+L2+L3,A,3,0,10.3,0,10.3
22334,2560,OMEO HWY,F, L1+L2,S,2,0,6.8,0,6.8
21629,2590,MIDLAND HWY,F, L1+SL+SR+L2+L3,A,3,1.7,10.5,1.7,13.9
18953,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+RT1,S,2,2.4,7,2.4,11.8
21630,2580,SOUTH GIPPSLAND HWY,F, L1+SL+RT1,S,1,2.4,4.7,0,7.1
18954,2590,MIDLAND HWY,F, L1+SR+L2+RT1,S,2,0,7.4,1.6,9
24025,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.6,2,11.6
22335,2553,HUME LINK HWY,F, L1+L2+RT1,A,2,0,6.8,0,6.8
21631,2590,MIDLAND HWY,F, L1+RT1,S,1,0,5,0,5
18955,2570,MURRAY VALLEY HWY,F, L1+L2+LBL,S,2,0,6.8,0,6.8
22336,2550,HUME HWY,R, L1+SL+L2,A,2,2.2,7.2,0,9.4
24026,2650,MALLEE HWY,F, L1+SL+L2,S,2,0.7,7.4,0,8.1
21632,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,3,7.4,1.2,11.6
18956,2590,MIDLAND HWY,F, L1+L2,A,2,0,8,0,8
22337,2580,SOUTH GIPPSLAND HWY,F, L1+L2+L3+RT1,S,3,0,10.5,0,10.5
24027,2640,GOULBURN VALLEY HWY,R, L1+L2+LBL,S,2,0,6.8,0,6.8
21633,2550,HUME HWY,R, L1+SL+SR+L2+RON1+RONSHL+RONSHR,S,2,2.8,7.2,2,12
18957,2590,MIDLAND HWY,F, L1+SL+SR+L2+LT1+LIP,S,2,1.5,7.4,1.5,10.4
22338,2560,OMEO HWY,F, L1+L2,S,2,0,7,0,7
24028,2710,BASS HWY,F, L1+L2,S,2,0,7.4,0,7.4
21634,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.8,7.2,1.8,10.7
18958,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,2.2,6.6,2.2,11
22339,2590,MIDLAND HWY,F, L1+SL+L2+LT1+RPL,S,2,1.8,7.4,0,9.2
18959,2580,SOUTH GIPPSLAND HWY,F, L1+L2,S,2,0,7.4,0,7.4
21635,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.4,0,6.4
24029,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,6.3,0,6.3
22340,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2.8,7.1,2,11.9
18960,2560,OMEO HWY,F, L1+L2,A,2,0,6.2,0,6.2
21636,2560,OMEO HWY,F, L1+L2,S,2,0,7.2,0,7.2
22341,2660,NEPEAN HWY,F, L1+SL+SR+L2,S,2,2,7,2,11
24030,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,2.5,7.8,2.6,12.9
18961,2580,SOUTH GIPPSLAND HWY,R, L1+SR+L2,A,2,0,7.4,1.2,8.6
21637,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.5,6.8,1.8,10.1
22342,2650,MALLEE HWY,F, L1+SL+SR+L2,S,2,1.3,7.4,1.3,10
24031,2720,MAROONDAH HWY,F, L1+L2+L3,S,3,0,10.8,0,10.8
18962,2560,OMEO HWY,F, L1+L2,S,2,0,7.8,0,7.8
21638,2590,MIDLAND HWY,F, L1+L2+L3+L4,S,4,0,16,0,16
22343,2600,MORNINGTON PENINSULA FWY,F, L1+SL+SR+L2+RON1+RONSHL+RONSHR,A,2,3,7.4,1.2,11.6
24032,2660,NEPEAN HWY,F, L1+L2+L3+L4+RT1+LIP,A,4,0,12.4,0,12.4
21639,2590,MIDLAND HWY,F, L1+SL+SR+L2+L3,S,3,1.4,10.5,1.4,13.3
22344,2720,MAROONDAH HWY,F, L1+L2+L3+RT1+RT2+LT1+LBL,A,3,0,11,0,11
24033,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,3,7.4,3,13.4
21640,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2,7.2,2,11.2
18963,2553,HUME LINK HWY,R, L1+L2,S,2,0,7.4,0,7.4
22345,2620,HENTY HWY,F, L1+SL+SR+L2,S,2,2.7,7.4,1.3,11.4
24034,2700,SUNRAYSIA HWY,F, L1+SL+SR+L2,S,2,1.4,7,1.4,9.8
21641,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,3,7.4,1.2,11.6
18964,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,2.5,7.2,2.5,12.2
24035,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.6,2,11.6
22346,2620,HENTY HWY,F, L1+L2,S,2,0,7.4,0,7.4
21642,2550,HUME HWY,R, L1+SL+SR+L2,S,2,3,7.2,3,13.2
18965,2580,SOUTH GIPPSLAND HWY,F, L1+L2+RT1+LT1,S,2,0,7.5,0,7.5
24036,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,3,7.6,1.5,12.1
22347,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1.6,7.2,1.5,10.2
21643,2570,MURRAY VALLEY HWY,F, L1+SR+L2,S,2,0,6.6,2,8.6
18966,2550,HUME HWY,R, L1+SL+SR+L2,S,2,3.2,7.6,1.5,12.2
24037,2630,LODDON VALLEY HWY,F, L1+L2,S,2,0,7.4,0,7.4
22348,2710,BASS HWY,R, L1+SL+L2+LT1,S,2,2.7,7.2,0,9.9
21644,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2+NTZM,S,2,1.8,7.6,1.8,11.2
18967,2570,MURRAY VALLEY HWY,F, L1+SL+L2,S,2,2.4,7.6,0,10
22349,2720,MAROONDAH HWY,F, L1,S,1,0,5.8,0,5.8
21645,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2,7,2,11
24038,2710,BASS HWY,R, L1+SL+L2,S,2,2.7,7.2,0,9.9
18968,2580,SOUTH GIPPSLAND HWY,R, L1+L2+L3+RT1+RT2+LT1,A,3,0,10.5,0,10.5
21646,2580,SOUTH GIPPSLAND HWY,F, L1+L2+RT1,A,2,0,8,0,8
22350,2590,MIDLAND HWY,R, L1+L2,A,2,0,7.2,0,7.2
18969,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.8,0,6.8
24039,2710,BASS HWY,F, L1+SL+SR+L2,S,2,2.9,7,1.5,11.4
21647,2550,HUME HWY,R, L1+SR+L2+LT1,S,2,0,7.6,1,8.6
22351,2660,NEPEAN HWY,R, L1+L2+L3+L4+RT1,A,4,0,14,0,14
18970,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.4,2,11.4
24040,2660,NEPEAN HWY,R, L1+L2+L3+L4+RT1,A,4,0,16.1,0,16.1
21648,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1.8,7.6,1.8,11.2
22352,2720,MAROONDAH HWY,F, L1+SL+SR+L2,S,2,1.8,6.8,1.8,10.4
21649,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,7,0,7
18971,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,7.6,0,7.6
24041,2720,MAROONDAH HWY,F, L1+SR+L2,S,2,0,7.4,2,9.4
22353,2640,GOULBURN VALLEY HWY,F, L1+L2+LIP,S,2,0,6.8,0,6.8
21650,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,2.2,7.6,2.2,12
22354,2660,NEPEAN HWY,F, L1+L2+L3+L4,A,4,0,14.3,0,14.3
18972,2590,MIDLAND HWY,F, L1+L2,A,2,0,9.8,0,9.8
24042,2640,GOULBURN VALLEY HWY,F, L1+L2+RT1+LBL,S,2,0,6.4,0,6.4
21651,2580,SOUTH GIPPSLAND HWY,R, L1+L2,S,2,0,7.4,0,7.4
22355,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2.6,7.2,2.6,12.4
18973,2580,SOUTH GIPPSLAND HWY,R, L1+L2+RT1,S,2,0,6.9,0,6.9
24043,2660,NEPEAN HWY,F, L1+L2+L3+L4,A,4,0,14,0,14
21652,2570,MURRAY VALLEY HWY,F, L1+SR+L2,S,2,0,6.8,1.5,8.3
22356,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7,2,11
24044,2620,HENTY HWY,F, L1+L2,S,2,0,8.4,0,8.4
18974,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,1.5,7.4,1.5,10.4
21653,2580,SOUTH GIPPSLAND HWY,R, L1+L2,S,2,0,7.4,0,7.4
18975,2570,MURRAY VALLEY HWY,F, L1+SL+SR+L2,S,2,1,7.2,1,9.2
24045,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1.2,7.5,1.2,9.9
22357,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,7.4,0,7.4
21654,2560,OMEO HWY,F, L1+L2,S,2,0,7.4,0,7.4
18976,2570,MURRAY VALLEY HWY,F, L1+L2+LPL+RPL,S,2,0,10,0,10
24046,2590,MIDLAND HWY,R, L1+SL+L2,A,2,1.5,7,0,8.5
22358,2570,MURRAY VALLEY HWY,F, L1+L2+RT1,S,2,0,12,0,12
21655,2553,HUME LINK HWY,F, L1+L2+RT1,S,2,0,7.6,0,7.6
24047,2670,GLENELG HWY,F, L1+L2+RT1,S,2,0,7.6,0,7.6
18977,2550,HUME HWY,R, L1+SL+SR+L2,S,2,3.2,7.2,1.5,11.9
22359,2550,HUME HWY,R, L1+SR+L2,S,2,0,7.6,1.5,9.1
21656,2550,HUME HWY,R, L1+SL+SR+L2,A,2,2.4,7.2,1.2,10.8
24048,2720,MAROONDAH HWY,F, L1+SL+SR+L2+L3,S,3,1.5,10.2,1.5,13.2
18978,2550,HUME HWY,R, L1+SL+SR+L2,S,2,2.8,7.6,1.8,12.2
22360,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+L3,S,3,2.4,11,2.4,15.8
21657,2580,SOUTH GIPPSLAND HWY,F, L1+L2,S,2,0,7.4,0,7.4
24049,2660,NEPEAN HWY,F, L1+L2+L3,U,3,0,10.5,0,10.5
22361,2590,MIDLAND HWY,F, L1+SL+SR+L2,S,2,2.4,6.8,2.4,11.6
18979,2550,HUME HWY,R, L1+SL+SR+L2+ROF1+ROF2+ROFSHL+ROFSHR,S,2,3.2,7.6,1.5,12.2
21658,2560,OMEO HWY,F, L1+L2,S,2,0,6.8,0,6.8
24050,2590,MIDLAND HWY,R, L1+SL+L2+RT1,A,2,1.5,7,0,8.5
22362,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2,S,2,3,7.4,1.2,11.6
18980,2580,SOUTH GIPPSLAND HWY,F, L1+SL+SR+L2+L3+RT1,S,3,1.8,10.5,1.8,14.1
24051,2660,NEPEAN HWY,R, L1+L2+L3+RT1+RT2,A,3,0,10.8,0,10.8
22363,2550,HUME HWY,R, L1+SL+SR+L2+LIP,S,2,3,7.2,1,11.2
18981,2590,MIDLAND HWY,F, L1+L2,S,2,0,7.6,0,7.6
